id,cluster,title,authors,year,venue,venue_type,link,publication_status,research_problem,contribution_type,core_method,datasets,baselines,metrics,code_available,key_evidence,limitations,relevance_to_project
B01,B,Hyperband,Li et al.,2018,JMLR,journal,https://jmlr.csail.mit.edu/papers/v18/16-558.html,published,Accelerate random search via adaptive resource allocation+early stopping,algorithm,Successive halving in multiple brackets; poor configs pruned aggressively,CNN+kernel tasks,SMAC/TPE/Spearmint/random search,Test error/wall-clock time/speedup,Yes (Ray Tune/HpBandSter),>10x speedup vs BO; near-optimal theoretical guarantees,Requires max/min resource+reduction factor; random sampling (no model),Foundational multi-fidelity HPO; resource allocation directly applicable
B02,B,BOHB: Robust and Efficient HPO at Scale,Falkner et al.,2018,ICML,conference,https://automl.github.io/HpBandSter/,published,Combine Hyperband's speed with BO's sample efficiency,algorithm,Hyperband bracket scheduling+TPE (KDE-based l(x)/g(x)) with random fraction,SVM/Feed-forward NN/ResNet-20 CIFAR-10,Hyperband/TPE/GP-BO/Fabolas,Test error/anytime performance/GPU-days,Yes (HpBandSter),10-100x faster to lowest test error; ResNet-20: 2.78±0.09%,Surrogate bias from low-fidelity signals; sensitivity to eta,Most practical multi-fidelity BO for single GPU budget constraints
B03,B,DEHB: Evolutionary Hyperband,Awad et al.,2021,IJCAI,conference,https://github.com/automl/DEHB,published,BOHB's TPE has O(n^3) overhead; can evolution be cheaper?,algorithm,Differential Evolution replaces TPE; Hyperband successive halving; constant overhead,Toy functions/HPOlib/Bayesian NN/RL/NAS,Random search/BOHB/Hyperband/SMAC/TPE,Speedup/final performance,Yes,Up to 1000x faster than RS; up to 32x faster than BOHB; strong on high-dim discrete,DE mutation requires continuous conversion; sub-population complexity,Well-suited for NAS+high-dim HPO under budget constraints
B04,B,HEBO: Pushing Limits of Sample-Efficient HPO,Cowen-Rivers et al. (Huawei),2022,JAIR,journal,https://github.com/huawei-noah/HEBO,published,Are GP's homoscedasticity+stationarity assumptions violated in real HPO?,algorithm+empirical,Non-linear input/output warping+multi-objective acquisition ensemble (Pareto front),Bayesmark (108 ML tasks),Multiple black-box optimizers,Final performance/anytime regret,Yes,Significantly outperforms existing optimizers across 108 tasks; heteroscedasticity is pervasive,GP surrogates still O(n^3); warping adds hyper-hyperparams,Explains why naive GP-BO fails: noise varies dramatically across HP regions in fine-tuning
B05,B,SMAC3: Versatile Bayesian Optimization,Lindauer et al.,2022,JMLR,journal,https://github.com/automl/SMAC3,published,Robust BO framework for mixed/categorical/conditional search spaces,system,Random Forest surrogates (C++ backend)+aggressive racing (intensification)+multiple facades,N/A (powers auto-sklearn/Auto-PyTorch),Community-benchmarked,Framework usability/speed/robustness,Yes,Powers SOTA AutoML systems; RF handles mixed spaces naturally; racing=built-in early stopping,RF less sample-efficient than GP for low-dim continuous; sequential by design,Most practical BO for heterogeneous search spaces in budget-constrained AutoML
B06,B,LC-PFN: Efficient Bayesian Learning Curve Extrapolation,Adriaensen et al.,2023,NeurIPS,conference,https://github.com/automl/LC-PFN,published,Can LCE achieve Bayesian inference in single forward pass?,model,Transformer pre-trained on 10M synthetic right-censored curves; single forward pass=posterior predictive,LCBench/NAS-Bench-201/Taskset/PD1 (53 datasets),MCMC LCE/deep GP/deep ensembles,Extrapolation accuracy/speedup,Yes,"~10,000x faster than MCMC; predictive early stop=2-6x speedup on 45/53 datasets",PFN trained on synthetic only; sensitive to real noise,Near-zero-cost early stopping — core component for budget-aware agent
B07,B,FT-PFN/iFBO: In-Context Freeze-Thaw BO,Rakotoarison et al.,2024,ICML,conference,https://proceedings.mlr.press/v235/rakotoarison24a.html,published,Can freeze-thaw BO avoid online surrogate retraining?,algorithm+model,FT-PFN surrogate+MFPI-random acquisition; single forward pass at inference,LCBench/Taskset/PD1 (53 datasets),Deep GP/deep ensemble surrogates/BOHB/Hyperband/DyHPO/SMAC,Normalized regret/anytime performance,Partial,10-100x faster predictions; new SOTA on 3 suites; synthetic-trained PFN generalizes to real curves,Requires PFN pre-training; MFPI-random is myopic,State of the art in cost-sensitive HPO — optimal resource allocation
B08,B,DyHPO: Supervising the Multi-Fidelity Race,Wistuba et al.,2022,NeurIPS,conference,https://github.com/machinelearningnuremberg/DyHPO,published,Can dynamic allocation policy replace fixed Hyperband schedules?,algorithm,Deep kernel GP surrogate embeds learning curve dynamics; multi-budget acquisition; dynamic racing,50 datasets (tabular/image/NLP),BOHB/Hyperband/standard BO,Normalized regret/rank,Yes,Significant superiority over SOTA on 50 datasets; adapts to problem characteristics,Deep kernel GP adds training overhead; requires careful HP tuning,Dynamic racing directly relevant — adaptive resource allocation for limited GPU hours
B09,B,FanG-HPO: Fair and Green HPO,Candelieri et al.,2024,Machine Learning,journal,https://doi.org/10.1007/s10994-024-06515-0,published,Optimize accuracy+fairness+energy simultaneously in HPO?,algorithm,Multi-objective BO+dataset subsets as cheap information sources,4 fairness benchmark datasets,Fairness-aware ML/auto-sklearn FairBO,Accuracy/fairness metrics/energy consumption,No,Explicit accuracy-fairness-energy trade-off; cheap proxy evaluations reduce total energy,Focus on fairness; subsetting may not work for already-small data,Multi-information-source concept directly applicable — cheap data subset evaluations
B10,B,Strategies of AutoML for Green AI,Castellanos-Nieves & Garcia-Forte,2024,Applied Sciences,journal,https://doi.org/10.3390/app14146196,published,Can HPO be made significantly greener without accuracy loss?,empirical,Energy efficiency metrics for HPO algorithms; compares BOHB/HyperBand/PBT/ASHA under energy-aware metrics,ML benchmark tasks,Red AI (unconstrained),CO2 equivalent/validation accuracy,No,"28.7% CO2 reduction with only 0.51% accuracy decrease; ASHA+PBT more energy-efficient than BOHB",Single study; energy depends on hardware+grid mix,Quantifies energy-performance trade-off — key evidence for budget-aware design
B11,B,XAutoLM: Efficient Fine-Tuning via Meta-Learning and AutoML,Estevanell-Valladares et al.,2025,EMNLP,conference,https://aclanthology.org/2025.emnlp-main.399/,published,Joint model selection+HPO for LM fine-tuning under compute constraints?,system,Task-level+system-level meta-features from past experiments; experience-aware prior biases sampling; supports LoRA,4 text classification+2 QA,Zero-shot optimizer/memory-based baselines,F1/evaluation time/search error ratio,Yes,4.5x mean evaluation time reduction; 7x search error ratio reduction; 5/6 tasks > zero-shot,Single-domain (NLP); requires experience database,MOST DIRECTLY RELEVANT: meta-learning accelerates AutoML but NLP-only (vision gap=our contribution)
B12,B,DHA: End-to-End Joint Optimization of DA+HPO+Architecture,Zhou et al.,2022,TMLR,journal,https://openreview.net/forum?id=MHOAEiTlen,published,Can DA policy+HP+architecture be jointly optimized without retraining?,algorithm,Differentiable NAS in compressed feature space; DA+HPO as dynamic schedulers; ready-to-use model,ImageNet/CIFAR-10/100,Sequential optimization methods,Top-1 accuracy/search cost,Yes,First joint end-to-end optimization of all three components; no retraining needed,Differentiable only; limited to continuous HPs; CV only,Joint optimization principle critical for budget-aware AutoML
B13,B,GPBT: Generalized Population-Based Training,Bai & Cheng,2024,arXiv,preprint,https://arxiv.org/abs/2404.08233,preprint,Can learned perturbation improve PBT over random perturbation?,algorithm,Pairwise Learning: pseudo-gradients from paired agent performance guide underperformers,RL benchmarks,Standard PBT,Episode return/robustness to perturbation interval,No,24-32% improvement over standard PBT; more robust to perturbation intervals,RL-only; requires parallel population,PBT/GPBT as alternative to sequential BO; viable if running concurrent trials on 16GB
B14,B,FedPop: Federated Population-based Hyperparameter Tuning,Chen et al.,2025,AAAI,conference,https://doi.org/10.1609/aaai.v39i15.33732,published,Joint optimization of client+server HPs in federated learning?,algorithm,Online tuning-while-training population-based evolutionary framework,Full-sized non-IID ImageNet-1K,Concurrent SOTA FL HPO methods,Model accuracy/convergence speed,No,First to jointly optimize client+server HPs in FL; validated on full ImageNet-1K,FL-specific; distributed infrastructure needed,Demonstrates population-based HPO viable for complex settings
B15,B,HPOBench: Reproducible Multi-Fidelity HPO Benchmarks,Eggensperger et al.,2022,NeurIPS,conference,https://github.com/automl/HPOBench,published,HPO lacks standardized reproducible benchmarks,benchmark,100+ multi-fidelity problems across 12 families; Singularity containers for reproducibility,7 existing+5 new benchmark families,13 optimizers from 6 tools,Any performance metric/rank/speedup,Yes,Container-based reproducibility; multi-fidelity methods provide substantial early speedups,Singularity requires Linux; raw benchmarks still expensive to run,Standardized way to benchmark budget-aware HPO methods
B16,B,YAHPO Gym: Multi-Objective Multi-Fidelity HPO Benchmark,Pfisterer et al.,2022,AutoML Conference,conference,https://github.com/slds-lmu/yahpo_gym,published,Tabular benchmarks can mislead; can surrogate benchmarks be better?,benchmark,14 scenarios 700+ problems; ONNX-compressed ResNet surrogates; 10-100ms per eval,14 scenarios across diverse ML tasks,Tabular benchmarks,Spearman's rho for faithfulness/wall-clock time,Yes,Faster and more faithful than tabular benchmarks; Spearman's rho typically >0.7,Surrogates are approximations; may miss discontinuities,Enables cheap statistically rigorous comparison of budget-aware HPO without GPU clusters
B17,B,FlexHB: More Efficient and Flexible HPO Framework,Zhang et al.,2024,arXiv,preprint,https://arxiv.org/abs/2402.13641,preprint,Fixed Hyperband brackets ignore problem-specific optimal schedules,algorithm,Fine-grained fidelity+FlexBand (adaptive SH bracket allocation with global ranking),FCNet/ResNet/XGBoost/MLP,BOHB/MFES-HB/Hyperband,Speedup factor/final error,No,6.9x vs MFES-HB; 11.1x vs BOHB; 4.9-16x vs Hyperband,Preprint only; adaptive allocation adds complexity,Directly addresses fixed-bracket limitation for budget-aware fine-tuning
B18,B,Low-Budget Optimization Comparison,Raponi et al.,2025,IEEE TEVC,journal,https://doi.org/10.1109/TEVC.2023.3346788,published,Is BO always best under low evaluation budgets?,empirical comparison,Comprehensive comparison of BO-based vs classical DFO vs evolutionary methods,BBOB suite/OpenAI Gym,CMA-ES/DE/BO-based methods,Optimization regret/wall-clock time,Yes,"BO best at limited budgets; outperformed by CMA-ES/DE as budget increases; BO efficiency decreases with dimension",BBOB focuses on synthetic functions; not standard ML HPO,Direct answer: BO is right for 10-50 trials; classical methods catch up with more
C01,C,The AI Scientist v1,Lu et al. (Sakana AI/Oxford/UBC),2024,arXiv,preprint,https://arxiv.org/abs/2408.06292,preprint,Can LLM autonomously conduct full scientific research cycle?,system,LLM pipeline: idea gen→code→experiment→LaTeX paper→automated peer review,3 ML subfields (diffusion/transformer/learning dynamics),N/A (automated reviewer),Automated reviewer scores/per-paper cost (~$15),Yes (github.com/SakanaAI/AI-Scientist),"Produces 10 papers; some reach 'Weak Accept'; per-paper ~$15",42% experiment failure rate; 57% manuscripts with hallucinations; automated reviewer rejects 9/10 human papers,Foundational end-to-end system; understanding failure modes is key
C02,C,The AI Scientist v2,Yamada et al. (Sakana AI),2025,arXiv,preprint,https://arxiv.org/abs/2504.08066,preprint,Can autonomous agent explore without human templates using principled search?,system,Progressive best-first tree search; removes human templates; VLM figure quality feedback; multi-LLM,Diverse ML domains,AI Scientist v1,Peer-reviewed ICLR workshop acceptance,Yes,First AI-generated paper accepted at ICLR workshop; exceeds average human acceptance threshold,Lower success rate than v1 (broader search space); cost scales with tree width,Tree search improves autonomous discovery over linear pipelines
C03,C,PaperQA2,Skarlinski et al. (FutureHouse),2024,arXiv,preprint,https://arxiv.org/abs/2409.13740,preprint,Can LLM agents surpass humans at literature search/summarization/contradiction detection?,system+benchmark,RAG agent: Paper Search→Gather Evidence→Generate Answer→Citation Traversal,LitQA2 (248 questions)/WikiCrow/ContraCrow,Human PhDs/postdocs; non-agentic RAG,Precision (85.2%)/accuracy (66.0%),Yes (github.com/Future-House/paper-qa),Superhuman on all 3 literature tasks; WikiCrow > human Wikipedia articles,Limited to literature tasks; $1-3/query,Gold standard for literature review agents
C04,C,ChemCrow: Augmenting LLMs with Chemistry Tools,Bran et al.,2024,Nature Machine Intelligence,journal,https://doi.org/10.1038/s42256-024-00832-8,published,Can augmenting LLMs with expert chemistry tools bridge the reasoning gap?,system,GPT-4+18 expert-designed chemistry tools (SMILES/Reaction prediction/Safety/IUPAC) using ReAct,14 chemical use cases; real-world synthesis of DEET+organocatalysts,GPT-4 alone; human expert chemists,Expert preference ratings/synthesis success rate,Yes (github.com/ur-whitelab/chemcrow),Expert chemists preferred ChemCrow over GPT-4 alone on complex tasks,GPT-4 alone better on simple tasks; evaluator LLM cannot replace expert assessment,Classic tool-augmented LLM for science; value from tools not LLM
C05,C,Coscientist: Autonomous Chemical Research with LLMs,Boiko et al.,2023,Nature,journal,https://doi.org/10.1038/s41586-023-06792-0,published,Can single LLM autonomously plan+execute multi-step chemical experiments?,system,GPT-4: Planning+Web Search+Hardware Documentation+Data Analysis+Code Execution modules,7 test molecules; Suzuki/Sonogashira reactions,N/A (first-of-kind demonstration),Synthesis planning accuracy/time to completion,No (safety concerns),Successfully planned 7 molecule syntheses; Nobel Prize-winning reactions in <4 minutes,Safety concerns require human-in-the-loop; limited to established reactions,Seminal LLM-controlled physical experimentation demonstration
C06,C,SciAgents: Multi-Agent Intelligent Graph Reasoning,Ghafarollahi & Buehler,2024,Advanced Materials,journal,https://doi.org/10.1002/adma.202413523,published,Can ensemble of specialized LLM agents generate cross-disciplinary hypotheses?,system,Multi-agent (Ontologist/Scientist1/Scientist2/Critic/Planner) over knowledge graph; GPT-4 via ICL,1,000 bio-inspired materials papers,No direct agent baselines,Semantic Scholar novelty check/human expert assessment,Yes (github.com/lamm-mit/SciAgentsDiscovery),Novel silk+dandelion pigment hypotheses; discovered unconsidered interdisciplinary relationships,Domain-specific; static knowledge graph; hypotheses not experimentally validated,Best multi-agent hypothesis generation with structured knowledge
C07,C,Data Interpreter: LLM Agent for Data Science,Hong et al.,2024,ACL,conference,https://arxiv.org/abs/2402.18679,published,Standard LLM agents struggle with data science: real-time adjustments+dependencies,method,Dynamic planning with hierarchical graphs+dynamic tool integration+logical inconsistency detection,ML tasks/MATH/open-ended data science/InfiAgent-DABench,Open-source LLM agent frameworks,Task accuracy,Yes (MetaGPT),ML tasks 0.86→0.95; MATH +26%; open-ended +112%; DABench +25%,Relies on GPT-4 level models; hierarchical planning brittle with unexpected data,Structured planning+error detection value proposition
C08,C,AIDE: AI-Driven Exploration in the Space of Code,Jiang et al. (Weco AI),2025,arXiv,preprint,https://github.com/WecoAI/aideml,preprint,Can ML engineering be framed as code optimization via tree search?,system,Solution Space Tree Search: nodes=Python scripts; ops=draft/debug/improve; search policy selects,Weco-Kaggle (63)/MLE-Bench (75)/RE-Bench (7),H2O AutoML/OpenHands/ChatGPT+human/human Kaggle,Medal Rate/Valid Submission%/Above Median,Yes,4x medals vs best linear agent; 92.4% valid submission vs 63.6% OpenHands; MLE-bench dominant scaffold,Hard-coded search policy; struggles with large codebases; greedy local optima,Dominant MLE-bench agent scaffold; hard-coded search>learned=value from orchestration
C09,C,MLAgentBench: Evaluating Language Agents on ML Experimentation,Huang et al.,2023,NeurIPS,conference,https://github.com/snap-stanford/MLAgentBench,published,How to systematically benchmark LLM agents on open-ended ML experimentation?,benchmark,15-task suite (CIFAR-10 to BabyLM); ReAct framework; competence+reasoning+efficiency evaluation,CIFAR-10/ogbn-arxiv/BabyLM/Kaggle (15 tasks),Claude v1-v3/GPT-4/Gemini/Mixtral,Success rate/reasoning quality/efficiency,Yes,Claude v3 Opus 37.5% avg; ~90% CIFAR-10; ~10% recent Kaggle; 0% newest research,Limited to 15 tasks; performance dependent on task recency,Foundational ML agent benchmark; ReAct evaluation paradigm
C10,C,MLE-bench: Evaluating ML Agents on ML Engineering,Chan et al. (OpenAI),2024,ICLR,conference,https://arxiv.org/abs/2410.07095,published,Can AI agents perform as ML engineers on real-world competitions?,benchmark,75 Kaggle competitions (tabular/image/NLP/multimodal); 3 difficulty levels; anti-cheating,75 Kaggle competitions,Human leaderboard; AIDE/ResearchAgent/OpenHands; GPT-4o/o1/Claude 3.5/Llama 3.1,Medal Rate/Above Median%/Valid Submission%,Yes (github.com/openai/mle-bench),o1-preview+AIDE: 16.9% medal (pass@1)/34.1% (8 attempts); AIDE 4:1 medals vs OpenHands,Kaggle data contamination risk; anti-cheating not foolproof,De facto ML engineering agent benchmark; used by OpenAI Preparedness Framework
C11,C,PaperBench: Evaluating AI's Ability to Replicate AI Research,Starace et al. (OpenAI),2025,ICML,conference,https://arxiv.org/abs/2504.01848,published,Can AI agents replicate SOTA ML papers from scratch?,benchmark,20 ICML 2024 Spotlight/Oral papers; 8316 gradable rubric tasks; LLM judge (F1=0.83),20 ICML 2024 papers (deep RL/robustness/probabilistic/LLM),Human ML PhDs (3-person 48h); Claude 3.5 Sonnet/o1/DeepSeek-R1/GPT-4o/Gemini,Replication Score (weighted rubric tree),Yes (github.com/openai/preparedness),Best agent (Claude 3.5 Sonnet) 21.0% vs human PhD 41.4%; o1 plateaued after 1h,Only 20 ICML papers; rubric creation requires author time; grading ~$66/paper MOST RIGOROUS test of autonomous AI research capability
C12,C,MLR-Bench: Evaluating Agents on Open-Ended ML Research,Chen et al.,2025,NeurIPS,conference,https://github.com/chchenhui/mlrbench,published,How to evaluate end-to-end ML research including idea→experiment→paper?,benchmark,201 workshop tasks; MLR-Judge (LLM reviewer with expert-validated rubrics); MLR-Agent scaffold,73+91+37 workshop paper topics,6 frontier LLMs + coding agent,Idea quality/experiment validity/paper quality,Yes,**~80% agent-produced experimental results are fabricated or invalid** — LLMs write coherent papers but fail at valid experimentation,Workshop scope; LLM judge limitations,Most direct evidence of fabricated results problem; critical for understanding failure rates
C13,C,CORE-Bench: Computational Reproducibility Agent Benchmark,Siegel et al.,2025,TMLR,journal,https://github.com/siegelz/core-bench,published,Can AI agents verify computational reproducibility of published research?,benchmark,270 tasks from 90 papers across CS/social science/medicine; 3 difficulty levels; isolated VM,90 papers from CodeOcean across 3 disciplines,AutoGPT/CORE-Agent/GPT-4o/GPT-4o-mini,Accuracy (all-or-nothing per task),Yes,Best agent: 58-60% easy; 19-21% hardest; v1.1 near-ceiling saturation with GPT-5.4+Codex CLI,Only 3 disciplines; rapid saturation (v1.1),If agents can't reproduce published work they can't do novel work
C14,C,ScienceAgentBench: Toward Rigorous Assessment for Scientific Discovery,Chen et al.,2024,ICLR,conference,https://github.com/OSU-NLP-Group/ScienceAgentBench,published,Rigorous assessment of LLM agents on individual data-driven scientific tasks,benchmark,102 tasks from 44 peer-reviewed publications; 4 disciplines; validated by 9 SMEs,44 peer-reviewed publications,5 LLMs x 3 frameworks,Valid Execution Rate/Success Rate/CodeBERTScore/API Cost,Yes,Best agent 32.4% independent/34.3% with expert knowledge; o1-preview 42.2% at >10x cost,4 disciplines only; tasks are individual steps not full pipelines,Even individual scientific coding tasks remain challenging
